#     gamma 1             gamma 2            pos
0.0019016975981763294 0.020074146432025423 [30, 6]
0.002193450347672769 0.0025112611203042617 [31, 6]
0.004226412170971739 0.003932053088369131 [0, 7]
0.003841665962178709 0.004741250503035861 [1, 7]
-0.007118094293003996 -0.0026490835845046977 [2, 7]
-0.01872987500060441 -0.0006805083968191176 [3, 7]
-0.010457380639270356 0.005403850070879302 [4, 7]
0.0032447688175642267 0.011347815771231782 [5, 7]
0.0035690374470909478 0.012211431610597593 [6, 7]
-0.0012115025796571191 -0.02028427216591481 [7, 7]
0.0034138202711485217 -0.00020620709821743595 [8, 7]
-0.004012411322968772 -0.006529026324265682 [9, 7]
-0.04759293399926314 -0.00047170371949474934 [10, 7]
-0.0068860261933048495 0.020742886996496908 [11, 7]
-0.014919613524608934 0.012492499681371986 [12, 7]
-0.0019130985082218262 0.0020826259143729804 [13, 7]
-0.0016880472527766738 -0.010083089749566856 [14, 7]
-0.003059309094054198 0.005462871692263745 [15, 7]
-0.0004272109586142076 -0.003051309130393483 [16, 7]
-0.0037908880520911652 0.003805507251975942 [17, 7]
-0.007563860855463926 -0.012039713128369583 [18, 7]
0.003173159032155054 -0.015683966254567264 [19, 7]
0.002794869437159345 -0.011289450984592967 [20, 7]
-0.006663045079447132 -0.0005527642648812289 [21, 7]
0.010942641284847088 0.007154822062707198 [22, 7]
-0.0038980610519647727 -0.006748172281162523 [23, 7]
-0.0016172028999544318 -0.012533896588135106 [24, 7]
-0.005391882612002501 0.002250482346334661 [25, 7]
-0.004840122226542125 -0.005746280665335705 [26, 7]
0.008282910114750576 -0.011449753842525091 [27, 7]
0.0003281452350121835 -0.005402832917175136 [28, 7]
0.01195000866562332 0.005141125581868081 [29, 7]
0.003643272344747906 -0.010476101637574118 [30, 7]
0.008366462051069296 -0.0013196999132209179 [31, 7]
0.0003552807457852166 0.0062823647286933924 [0, 8]
0.0012228882163268476 -0.001941462152070241 [1, 8]
0.004336402756220756 0.0041080605621270075 [2, 8]
0.0031231746602529533 -0.00720639471832493 [3, 8]
-0.0016634999783765381 0.0017111251984103493 [4, 8]
0.0015245203068560958 -0.011646117789614146 [5, 8]
0.003340586585041549 0.019942303841235742 [6, 8]
-0.004654748201281729 0.0032283680087268197 [7, 8]
0.0060431306736817075 -0.006716928021879632 [8, 8]
0.0024410643400979764 0.013258188930650543 [9, 8]
0.014821017664026156 0.014879103962416445 [10, 8]
-0.004982736476060576 0.0034100655848603666 [11, 8]
0.004950899665410378 -0.011602462789887441 [12, 8]
0.004379464393539026 -0.017010864075237636 [13, 8]
-0.0029408641857871357 -0.019973488602242014 [14, 8]
0.0021141116087172577 0.012409795538238955 [15, 8]
0.005826069112250953 -0.007734224173282329 [16, 8]
0.003823842846180972 0.009505170693917786 [17, 8]
0.0024554349255089974 -0.002898296775634551 [18, 8]
2.8140198275992384e-05 -0.012527186085221636 [19, 8]
-0.00545254716536615 0.015076062880940627 [20, 8]
-0.00762466789101228 0.022575088363907033 [21, 8]
0.010924899129847258 -0.015718659034625014 [22, 8]
-0.004348380526983857 -0.007532732446178584 [23, 8]
-0.004020367795053515 0.008026824059683689 [24, 8]
0.006917611382468328 0.0036468466629796226 [25, 8]
-0.003148976500477165 -0.0019275911249500399 [26, 8]
-0.005764033501762043 -0.0022151009265116554 [27, 8]
0.004338238438648116 0.001133115350716538 [28, 8]
0.0017206449916103415 -0.0015353386428498994 [29, 8]
0.0024901424448578076 0.008439310775463045 [30, 8]
0.004144326630546838 0.0004494661028123877 [31, 8]
0.0023562122571466346 -0.0031840961779715732 [0, 9]
-0.0025539564619281143 0.005283152966786845 [1, 9]
-0.001942625981147077 -0.008435491802842265 [2, 9]
-0.00011052873412484675 -0.015438094942212911 [3, 9]
-0.0003733833116016152 0.0016941749171610052 [4, 9]
-0.008388787895176768 -0.02019550666165316 [5, 9]
-0.00022306008890245958 0.0009263039512095355 [6, 9]
0.01801185960937838 -0.027081483925807993 [7, 9]
-0.005453247425976175 -0.016405394964198853 [8, 9]
0.008140486587228015 0.012570089030348477 [9, 9]
-6.8972089316343245e-06 -0.012657036268403187 [10, 9]
0.00041874730877845085 0.003832919889224302 [11, 9]
