#    gamma 1               gamma 2           pos
-0.0006908656112670281 8.208663858140362e-05 [6, 9]
0.013486139166098773 0.008630023309905801 [7, 9]
-0.01675597595490364 0.002859033063310962 [8, 9]
-0.005507389187465267 0.0062995081675344695 [9, 9]
-0.022527491125124147 -0.003867941275085531 [10, 9]
0.0041150788069008425 -0.006926616873391488 [11, 9]
-0.025913116219369894 -0.025433572738899454 [12, 9]
0.01862697428523475 -0.0157403522279916 [13, 9]
-0.011213535059796484 -0.004136120324633883 [14, 9]
-0.008325693131566345 0.020278467185307063 [15, 9]
-0.009916273443211224 -0.006786478088946595 [16, 9]
0.0046158668033445755 -0.0062101758673118995 [17, 9]
-0.019233170672082783 0.010702856675959337 [18, 9]
0.006021262067790008 0.01784150891045856 [19, 9]
0.005167075583904165 -0.0016197017926078978 [20, 9]
0.006734147900766108 -0.007054473639675732 [21, 9]
0.008409073006561905 0.005989714527579877 [22, 9]
0.005911104548267395 -0.0046076131272114506 [23, 9]
0.010493821287225254 0.011165611835578093 [24, 9]
-0.008111547330654327 -0.011028046429457816 [25, 9]
-0.00026554895974535177 -0.0019421969615497998 [26, 9]
-0.004991701515912015 0.0022311372965000457 [27, 9]
-0.0019345399374801648 -0.0012105793198697431 [28, 9]
-0.004576623486509269 0.005532615107738796 [29, 9]
-0.003694696475102761 0.0021771665810952075 [30, 9]
-0.010281531103102929 -0.014675244945260714 [31, 9]
0.012181144327693093 0.014902816653265158 [0, 10]
-0.001138273343798464 0.002600215315647459 [1, 10]
0.0008266276534479508 -4.334442783803555e-05 [2, 10]
-0.002080353228802244 -0.012562352031031806 [3, 10]
-0.010564982343870799 0.009368009616973125 [4, 10]
0.0005639276892716244 0.009794977520279278 [5, 10]
0.012068458488271339 -0.0030491655558672454 [6, 10]
0.00768072457547526 0.005342345020041056 [7, 10]
-0.019202682600357273 -0.028859438510126362 [8, 10]
-0.016741174633698966 0.006330715985658006 [9, 10]
-0.013694520306252782 -0.0005746158964258297 [10, 10]
7.835436191479657e-05 -0.0029029995312054462 [11, 10]
0.0035179231910974244 -0.012916050581157395 [12, 10]
-0.011772477605674164 -0.0029762247212154836 [13, 10]
0.010764782868829087 0.016675585288107083 [14, 10]
-0.014941964929549266 -6.738645079437594e-05 [15, 10]
0.0005855654072117588 -0.0033906457057899936 [16, 10]
-0.008807996954151501 0.00604151005260118 [17, 10]
-0.011083287679322379 0.0028521282261395916 [18, 10]
0.00010211809233655962 0.0021915880706697435 [19, 10]
-0.004096000995768226 0.0017107856513324414 [20, 10]
-0.020793124246866475 -0.0033637728040571842 [21, 10]
-0.006573146189277769 0.009104586412895549 [22, 10]
-0.011902271231102836 -0.00245786969111934 [23, 10]
0.003256461421331513 -0.009144964022640109 [24, 10]
0.007196903021151451 -0.005224359569746703 [25, 10]
-0.01154001906837697 0.0007611921437616288 [26, 10]
-0.0011563821494018846 0.010503108969114444 [27, 10]
0.006019898310476194 0.005452970179265387 [28, 10]
-0.015437618375268934 0.005942965437543516 [29, 10]
0.0019542342079944775 -0.003531573324935147 [30, 10]
-0.00432043796467202 -0.00031943575074880635 [31, 10]
0.004161596799837702 -0.011289058341723253 [0, 11]
0.008431697183854451 0.009870387993453328 [1, 11]
0.0050655733672527485 -0.007113216540336542 [2, 11]
0.006428945325965034 0.00477867919924552 [3, 11]
-0.005659943577592126 0.006954577878088218 [4, 11]
0.012862678759256046 0.012370231590405113 [5, 11]
0.008257925895072717 -0.00659154685603799 [6, 11]
-0.007940340683989286 0.0023742293330386533 [7, 11]
0.0038279569667858068 -0.00148777328931626 [8, 11]
-0.002302931803285166 0.0008455366747190375 [9, 11]
0.013085894871636939 -0.004472883182190463 [10, 11]
-0.0022230047511812285 0.01245195005162689 [11, 11]
-0.004616900826925216 0.0008654882017238184 [12, 11]
0.0032125289480955444 -0.002444424671433397 [13, 11]
-0.0045767810715513875 -0.01459073080230135 [14, 11]
0.017150692130343356 0.009323304869640019 [15, 11]
0.0008769949201611657 -0.008920220431684946 [16, 11]
0.00810960014938032 -0.006875902751661774 [17, 11]
0.01008912854174812 -0.011440222761380502 [18, 11]
-0.0045138003142085326 -0.009930195224274472 [19, 11]
-0.00680011875385997 -0.009056933779410015 [20, 11]
0.016609308039116193 -0.011725454791661368 [21, 11]
-0.0064551613943198355 0.004284133900526714 [22, 11]
-0.0012614368435033508 -0.0025764320386429734 [23, 11]
0.009391770895264684 -0.00846926425847868 [24, 11]
0.0006116043148592093 -0.0025114243603779713 [25, 11]
-0.01700418839790624 0.0011796605446900998 [26, 11]
-0.0012183673216740124 0.0013116240322628672 [27, 11]
-0.00101081920547134 0.003838748416036769 [28, 11]
0.005422816263760999 -0.004414496183632036 [29, 11]
-0.015041870608105952 -0.002804399507516938 [30, 11]
0.007050452811569603 -3.971838949828639e-05 [31, 11]
-0.011433618960631544 -0.015837556351824954 [0, 12]
0.012202183571828947 -0.004306326069777144 [1, 12]
-0.010347207624256003 0.004191582957449357 [2, 12]
-0.005720021443451162 0.018260908953644975 [3, 12]
-0.014840653079555288 -0.013042694405526469 [4, 12]
0.003073020277640725 -0.006636096688766742 [5, 12]
0.016679336304357775 -0.012439978221546045 [6, 12]
-0.006453240997660565 0.016036764964372004 [7, 12]
-0.001856075422151951 0.008348204986629783 [8, 12]
-0.0061193560626534626 -0.004660153054883017 [9, 12]
0.007292233057970259 0.004383970291284875 [10, 12]
0.00019672236281707088 0.005834311039210955 [11, 12]
0.004702896429612437 0.0048276648881349 [12, 12]
-0.006864719370231249 -0.008646994908382827 [13, 12]
0.017063393214058725 0.029702143211449393 [14, 12]
-0.005810701048916311 0.0014976752664375024 [15, 12]
-0.01337809891459661 0.0023445831617150874 [16, 12]
0.0044307097414044185 0.002028297571731547 [17, 12]
0.007491505239052868 -0.0074673861339948355 [18, 12]
-0.012972680735358469 0.0059529176809806385 [19, 12]
0.016589113882824462 -0.005765591998860621 [20, 12]
0.008459894760161771 0.003158180214094496 [21, 12]
-0.002966478715073826 -0.0013902379563669946 [22, 12]
-0.017895249427328678 0.015384173699412173 [23, 12]
-0.0015937995155443387 -0.006946347505089376 [24, 12]
0.004736815123489707 0.00857305290612405 [25, 12]
0.0018790755487376302 -0.0018229658428733494 [26, 12]
0.005274056221301195 -0.0016575237858232133 [27, 12]
-0.002408468460755117 -0.0034665424219220966 [28, 12]
0.007071784137291209 0.003477426160536031 [29, 12]
-0.010404149662266245 0.005669660272999618 [30, 12]
-0.010918796247278912 0.00511429357696588 [31, 12]
-0.008563391911527456 -0.0037075675969788454 [0, 13]
0.007595532662279481 0.0012547496997680101 [1, 13]
-0.01460256562161211 -0.002789924875081887 [2, 13]
0.011831094213448105 -0.022733568748672273 [3, 13]
-0.00016234675196528508 -0.006332058506077293 [4, 13]
0.012378253625318983 0.0014285036739923684 [5, 13]
-0.003296848107572486 -0.005651685142114502 [6, 13]
-0.015761642307272655 -0.007049454563736499 [7, 13]
0.007450360853662459 -0.006033798833012672 [8, 13]
0.003001345318198415 -0.001463006845768823 [9, 13]
-0.002542082437922283 0.01605983036044584 [10, 13]
0.004087266683593424 -0.006755363098286319 [11, 13]
0.005940509405905245 -0.0017062513185141254 [12, 13]
-0.008686293672548957 0.009963921333539134 [13, 13]
0.007179932232076574 0.0007827326103151322 [14, 13]
0.006075789024153691 -0.0027635312556774706 [15, 13]
0.003702444160846216 0.0004998754610363996 [16, 13]
-0.001928050965397927 0.007105929723046513 [17, 13]
-0.015037526055886952 -0.0046733451635704686 [18, 13]
-0.001312740197805616 0.022363265831913472 [19, 13]
-0.01259746692196082 -0.004576189491520075 [20, 13]
0.006973083485919036 0.010512427420030971 [21, 13]
0.001708963791936928 0.018413047760350555 [22, 13]
0.01915732405440026 0.00042962897453189733 [23, 13]
-0.01833510486029566 0.006360918563794935 [24, 13]
0.0035426301452378883 0.00014607442828236107 [25, 13]
-0.014269512122327693 -0.0022594833136768697 [26, 13]
0.013742980033200337 -0.006159054611053434 [27, 13]
-0.012819503632679695 -0.005041242098397761 [28, 13]
-0.016337790042141843 -0.0038477192835080615 [29, 13]
0.01747884537491372 -0.005088807513272456 [30, 13]
0.01268231929214589 0.011152076719050111 [31, 13]
0.0005215592949660162 -0.01988722636762272 [0, 14]
-0.038197790489481624 0.010462525140193107 [1, 14]
8.143869681258794e-06 0.0009660423049536951 [2, 14]
0.014370583713382316 -0.013053360895918298 [3, 14]
