#     gamma 1            gamma 2              pos
-0.0008134631348116696 0.007245851745731604 [10, 6]
-0.012263160522958692 0.007762212167129053 [11, 6]
0.007799028125707125 -0.01164931603869002 [12, 6]
0.002113884137939611 -0.001557142145989885 [13, 6]
-0.011803407010063013 -0.008332360849408253 [14, 6]
0.0026628743030458904 0.0007774943237967034 [15, 6]
-0.018058967100790017 0.005183484842631395 [16, 6]
-0.015040511393301233 0.0011016806352934468 [17, 6]
0.0011667445900933751 -0.009090410537318653 [18, 6]
-0.006920824425009678 0.0004972821803288116 [19, 6]
-0.0030056842845680915 0.006628031612832709 [20, 6]
-0.003959953128856981 -0.004512412386366537 [21, 6]
-0.012997571924454327 -0.0043561194967877215 [22, 6]
-0.005941312604538842 0.002428813562698432 [23, 6]
-0.014001102688036891 -0.0007390554815716521 [24, 6]
0.001987725189384327 0.006325984901008476 [25, 6]
0.0014247861556161046 -0.0044711153538785605 [26, 6]
0.007041651365408211 -0.008712754962304553 [27, 6]
-0.005431308119182161 0.00011911861697024035 [28, 6]
-0.0013415001393534077 0.00575712120342441 [29, 6]
-0.009786934128766875 -0.006343110638947804 [30, 6]
0.004233215940831124 0.003721517928860767 [31, 6]
-0.004280986816759243 0.018258953555271167 [0, 7]
-0.0031084192855589127 0.0005397066278405395 [1, 7]
-0.010084315931868374 -0.005006094178880455 [2, 7]
-0.001820844148866279 0.0128144983358609 [3, 7]
-0.009622441074484215 -0.005801147509839662 [4, 7]
-0.005483198441853895 0.00016951626430659577 [5, 7]
0.018163735903472658 0.0012401584671130393 [6, 7]
-0.01471727873937071 -0.003417717388645975 [7, 7]
0.0024833705566937258 0.009678612393296133 [8, 7]
0.00611563340932411 0.0026499303491973932 [9, 7]
0.0008463741193788434 0.007805838195397105 [10, 7]
-0.005318311065254792 -0.0011981431603008256 [11, 7]
0.003116089308959202 -0.003947560412561851 [12, 7]
0.014269036995982866 0.009038567646401877 [13, 7]
-0.010203270414984585 -0.0005842327776548402 [14, 7]
-0.004050175875869524 -0.0022738371726983672 [15, 7]
0.0018169909627930097 -0.002454578884715677 [16, 7]
-0.0008528525792971745 0.0072881980804922935 [17, 7]
-0.007580282549557832 -0.008388366067781781 [18, 7]
-0.0076302031445545666 0.01178337114565089 [19, 7]
-0.0010520578674393217 0.008247635139667354 [20, 7]
-0.005032245726263355 0.0009310855677866543 [21, 7]
0.001002477110738192 -0.002506811329073497 [22, 7]
-0.005525639511975028 0.0035077091601692454 [23, 7]
-0.00228036928467355 0.013035037296248676 [24, 7]
-0.00794815892786263 -0.00792133883002651 [25, 7]
0.003341169345697062 0.0004776195823255529 [26, 7]
-0.005173582060795702 0.010560038654601308 [27, 7]
-0.000387356467288254 -0.0009197439686890669 [28, 7]
-0.007285895862309396 -0.011516779821898977 [29, 7]
-0.006866601035621726 0.0022645084959042445 [30, 7]
-0.0013973111028668206 0.004294504074757639 [31, 7]
-0.004842664009904126 -0.0005751746415975094 [0, 8]
-0.005109469613555305 0.012340174389570299 [1, 8]
-0.012380335203833703 -0.004493223454632527 [2, 8]
0.009298635420944671 -0.003434943464660384 [3, 8]
0.002514286402071699 0.0029278873987079908 [4, 8]
0.005593599295290237 0.002182572586375862 [5, 8]
0.010507420475228816 0.00394962671413251 [6, 8]
-0.010153712430863607 0.005389651150581688 [7, 8]
-0.006176706837206014 -0.005535027767923389 [8, 8]
0.0024556778482473464 0.0010677862945773085 [9, 8]
-0.0012416328283342153 -0.0061548984332044825 [10, 8]
-0.001966532349874838 0.0039192988333003696 [11, 8]
0.01982949854986156 0.00019277799044874856 [12, 8]
-0.011043403290433426 -0.010535850665225067 [13, 8]
-0.0036970299995944715 -0.002425277023678797 [14, 8]
0.011293862147273218 -0.000188015677913243 [15, 8]
0.0061793062893707555 -0.005585724489736108 [16, 8]
-0.004637386688536841 0.0010597594786082947 [17, 8]
-0.005268251589908891 -0.003560908269039513 [18, 8]
-0.012702016034715083 -0.003299136539868497 [19, 8]
-0.012120136867783135 0.020455006521654686 [20, 8]
-0.005731701556975806 -0.003250639145016003 [21, 8]
0.003974507649057099 -0.018098037160654157 [22, 8]
0.008283000786650422 -0.0019815973852517705 [23, 8]
0.0016156733633883131 -0.003139121830021669 [24, 8]
-0.0021181130795909914 0.002153518986722134 [25, 8]
-0.0033457309261460803 -0.0036465473313873845 [26, 8]
-0.0006321959257065486 0.0008974782741293507 [27, 8]
-0.013588379314957058 -0.012000408624802932 [28, 8]
-0.0033602798972377753 -0.002251749439816869 [29, 8]
0.00134146482924845 -0.004950221619896317 [30, 8]
0.0013978504675288142 -0.002993807024228733 [31, 8]
0.0012937671569714056 0.0113056053919142 [0, 9]
-0.005882399667889433 -0.006383910504109102 [1, 9]
0.0028213556904749626 0.006937073348109115 [2, 9]
0.004372035976944521 -0.018231249864105774 [3, 9]
-0.0054375310822146975 0.007512516878593725 [4, 9]
-0.012409627428773128 0.0217393351280484 [5, 9]
-0.0047048763279202285 -0.005313201746227877 [6, 9]
-0.00683279207739944 0.002560104746665794 [7, 9]
-0.0033230181962765693 -8.099885334958735e-05 [8, 9]
0.001794471061346378 -0.008509618006614813 [9, 9]
-0.010063778380858342 -0.0077641658981108955 [10, 9]
0.020296035279584276 -0.007214692546910786 [11, 9]
0.001082187895957951 0.007263945289739587 [12, 9]
-0.015485400746870161 -0.008994031291226784 [13, 9]
0.0019525592878640624 -0.0011556057606117922 [14, 9]
-0.001737847250454867 0.002781583771585837 [15, 9]
-0.0023431863771986015 -0.006312671093498909 [16, 9]
0.010499086849040827 0.0035356252450935892 [17, 9]
-0.013200052213228284 0.003262249679327155 [18, 9]
0.012697578887393556 0.015303485789697582 [19, 9]
-0.007232515396896638 -0.0015094564299022691 [20, 9]
0.0031378922734803098 -0.0028984332780973595 [21, 9]
0.0015907116826577763 -0.014214168588075676 [22, 9]
-0.004838146948096157 0.00020771964487279344 [23, 9]
-0.003611886765357546 0.01100315844359706 [24, 9]
-0.016663656198426312 0.00041976840864222184 [25, 9]
0.003888955682591538 -0.009579615347721641 [26, 9]
0.00020569439060066623 0.012770122979168208 [27, 9]
-0.006853264435906118 -7.48904119184525e-05 [28, 9]
0.0032715639208706297 0.001491044667140145 [29, 9]
-0.002758421165717167 0.00221708017578228 [30, 9]
0.005389309544178217 -0.0052116540541238664 [31, 9]
-0.006379816480474578 0.0014645143265808883 [0, 10]
0.0012201326157411446 0.0010352470592727351 [1, 10]
-0.00678316322678122 0.007460864739847289 [2, 10]
0.007479032851532613 -0.007624823430433699 [3, 10]
0.0042505915196292725 -0.01981266814789559 [4, 10]
-0.0005523952900351309 -0.012305295345638989 [5, 10]
0.002016821192943856 -0.000341267781437146 [6, 10]
-0.009457483421183428 -0.011716869489194594 [7, 10]
0.02919712080064742 7.26894536809228e-05 [8, 10]
0.003238545312903496 0.0019550573627044173 [9, 10]
-0.017984309815786834 0.015211785440993093 [10, 10]
-0.030210256982524684 -0.0007591933760589038 [11, 10]
-0.017105336945605763 -0.01201674587011843 [12, 10]
-0.0012995518435909045 0.009387128940946647 [13, 10]
0.008438022095060784 0.004200181292743165 [14, 10]
0.0014215273050773708 -0.004999356739468576 [15, 10]
-0.006439459722331123 -0.0009781589476984681 [16, 10]
0.0037305696329141417 0.0052357571604276145 [17, 10]
-0.00908970928413365 0.008776410995372344 [18, 10]
